#  Seq         NAMEJ   FLUX_15S    ERR_15S     FLUX_K      ERR_K          alpha_RK
#  num         J2000        MJY        MJY        MJY        MJY           DIMLESS
#2345678901234567890123456789012345678901234567890123456789012345678901234567890
#        1         2         3         4         5         6         7         8
    1    J0019+2817     17.400      0.600     27.000      1.400   -0.11882900E+01
    2    J0010+2854     69.220      2.100    103.000      5.000   -0.10748947E+01
    3    J1520+4211     53.800      1.600     71.800      3.600   -0.78056359E+00
    4    J1528+3816     72.500      2.000     86.000      5.000   -0.46183126E+00
    5    J0010+2838     46.400      1.500     55.000      2.500   -0.45986494E+00
    6    J0030+2957     13.500      0.500     16.000      0.700   -0.45950075E+00
    7    J0012+3353    123.800      4.000    137.000      6.800   -0.27400772E+00
    8    J0019+2647     66.700      2.000     73.600      3.700   -0.26623635E+00
    9    J0012+3053     25.500      0.900     27.700      1.400   -0.22381245E+00
   10    J0010+2650     32.400      1.000     35.100      1.500   -0.21647941E+00
   11    J1539+4217     34.200      1.150     37.000      2.000   -0.21282726E+00
   12    J1528+4522     43.600      1.500     47.000      2.000   -0.20308611E+00
   13    J1517+3936     40.300      1.200     43.000      2.000   -0.17538658E+00
   14    J0013+2834     34.600      0.840     36.600      1.800   -0.15198110E+00
   15    J0936+3313     29.600      3.000     30.300      1.500   -0.63214337E-01
   16    J1538+4225     41.600      1.500     42.200      2.000   -0.38729476E-01
   17    J0937+3206     58.400      2.000     58.800      2.900   -0.18461071E-01
   18    J0010+2717     31.800      1.000     32.000      1.600   -0.16956558E-01
   19    J1550+4545     17.900      1.000     18.000      1.000   -0.15067238E-01
   20    J1526+3712     64.600      2.100     64.000      3.200    0.25236995E-01
   21    J1533+4107     19.900      0.700     19.500      1.000    0.54916593E-01
   22    J0002+2942     61.300      2.000     60.000      0.970    0.57972794E-01
   23    J0936+3207     52.800      6.000     51.300      1.800    0.77946371E-01
   24    J1519+4254     99.900      3.000     97.000      5.000    0.79672642E-01
   25    J0003+3010     56.300      1.700     54.600      2.500    0.82923363E-01
   26    J0933+3254     22.800      5.000     21.900      1.000    0.10892280E+00
   27    J0022+3250     13.600      0.500     13.000      5.000    0.12203063E+00
   28    J1529+3945     29.800      1.000     28.000      1.500    0.16850401E+00
   29    J1557+4007     79.400      2.700     74.000      3.600    0.19049050E+00
   30    J1519+3844     30.100      1.000     28.000      2.000    0.19559501E+00
   31    J1520+3843     35.900      1.200     33.000      2.000    0.22780380E+00
   32    J1516+3650     83.000      2.700     76.000      3.600    0.23829067E+00
   33    J0015+3216    469.000     22.000    425.000     21.000    0.26643514E+00
   34    J1541+4114     30.500      0.900     27.500      1.400    0.28003113E+00
   35    J1545+4130     50.000      1.400     45.000      2.200    0.28495298E+00
   36    J1506+3730    540.000     16.000    483.000     24.000    0.30169948E+00
   37    J0018+2921     90.800      3.000     81.000      4.000    0.30888731E+00
   38    J1554+4350     41.500      1.200     37.000      1.900    0.31041633E+00
   39    J1505+3702     22.500      0.700     20.000     10.000    0.31855033E+00
   40    J1525+4201     59.000      2.000     52.000      3.000    0.34156793E+00
   41    J0019+2956     41.000      1.300     35.700      1.750    0.37436774E+00
   42    J1521+4336    347.000     10.000    300.000     15.000    0.39362671E+00
   43    J1548+4031     84.900      3.000     72.300      4.000    0.43448609E+00
   44    J1516+4349     21.800      0.700     18.500      1.000    0.44392298E+00
   45    J1528+4219     43.600      1.500     37.000      3.000    0.44392298E+00
   46    J1554+4348     44.800      1.500     38.000      2.000    0.44522863E+00
